title,artist,artist nationality,sitter,is_self_portrait,sitter gender,size,date,thumbnail,mediaURLs
Don José Mas Ferrer,"José Campeche y Jordán (b. San Juan, Puerto Rico 1751; d. San Juan, Puerto Rico 1809)",Puerto Rican,Don Jose Mas Ferrer,FALSE,Male,Regular,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1996.91.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1996.91.1_1]
Dr. Elisha Poinsett,"Edward Greene Malbone (b. Newport, RI 1777; d. Savannah, GA 1807)",American,Elisha Poinsett,FALSE,Male,Miniature,ca. 1801-1802,"https://ids.si.edu/ids/iiif/SAAM-1999.27.26_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.26_1]
Dr. William Beekman,"Alexander Robertson (b. Aberdeen, Scotland; d. New York 1841)",Scottish,William Beekman,FALSE,Male,Miniature,ca. 1795,"https://ids.si.edu/ids/iiif/SAAM-1942.11.8_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.11.8_1]
Elizabeth Depeyster Peale,James Peale (b. 1749; d. 24 May 1831),American,Elizabeth Depeyster Peale (b. 1765; d. 1804),FALSE,Female,Regular,1795,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2009_49Depeyster-000004/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2009_49Depeyster-000004]
Elizabeth Du Hamel,"Henry Jacob Burch, Jr. (b. 1763; d. after 1834)",English,Elizabeth Du Hamel,FALSE,Female,Miniature,ca. 1805,"https://ids.si.edu/ids/iiif/SAAM-1950.4.40_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.40_1]
Elizabeth Grimké Rutledge,,,Elizabeth Grimké Rutledge (b. ?; d. 1792),FALSE,Female,Regular,ca. 1791,"https://ids.si.edu/ids/iiif/NPG-S_NPG_97_191Rutledgealt-000002/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_97_191Rutledgealt-000002]
Elizabeth Knapp,"James Peale (b. Chestertown, MD 1749; d. Philadelphia, PA 1831)",American,Elizabeth Knapp,FALSE,Female,Miniature,1802,"https://ids.si.edu/ids/iiif/SAAM-1937.11.1_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1937.11.1_1]
Elizabeth Linn Brown,"William Dunlap (b. 18 Feb 1766; d, 28 Sep 1839)",American,Elizabeth Linn Brown (b. 1775; d. 1834),FALSE,Female,Regular,ca. 1806,"https://ids.si.edu/ids/iiif/NPG-S_NPG_94_84_int/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_94_84_int]
Elizabeth Oliphant,"James Peale (b. Chestertown, MD 1749; d. Philadelphia, PA 1831)",American,Elizabeth Oliphant,FALSE,Female,Miniature,1795,"https://ids.si.edu/ids/iiif/SAAM-1942.2.3_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1942.2.3_1]
Elizabeth Washington Gamble Wirt,Cephas Thompson (b. 1 Jul 1775; d. 6 Nov 1856),American,Elizabeth Washington Gamble Wirt (b. 30 Jan 1784; d. 24 Jan 1857),FALSE,Female,Regular,ca. 1809-10,"https://ids.si.edu/ids/iiif/NPG-S_NPG_89_12-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_89_12-000001]
